Consulate: ABJ
+---------------+-------------+---------+---------------+--------------+-------------+--------------+
| Case Number   | Consulate   | City    | Country       | PrevStatus   | Status      | statusDate   |
|---------------+-------------+---------+---------------+--------------+-------------+--------------|
| 2023AF159     | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF164     | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF1098    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF3171    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF4448    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF4772    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF5813    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF6261    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF6315    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF6542    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF7978    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9323    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14021   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14402   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14600   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14644   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF17746   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF19258   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF19711   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF19857   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF20280   | ABJ         | Abidjan | Cote d'Ivoire | Ready        | Refused221g | 27-Mar-2023  |
| 2023AF20585   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF21777   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF21792   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF22291   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF22459   | ABJ         | Abidjan | Cote d'Ivoire | Ready        | Refused221g | 27-Mar-2023  |
| 2023AF23024   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF24923   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF25395   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF25483   | ABJ         | Abidjan | Cote d'Ivoire | Ready        | Refused221g | 27-Mar-2023  |
| 2023AF26886   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF27056   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF27858   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF29067   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF29350   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF30006   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF30134   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF30793   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF31121   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF32412   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF33629   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF33992   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF34076   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF35866   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF37445   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF37848   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF38249   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF38703   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF38708   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF38719   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF38877   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF39010   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF39414   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF40097   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF40874   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF42146   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF42362   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF42453   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF43101   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF43531   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF44547   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF44776   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF45196   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF45951   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF47934   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF48125   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
+---------------+-------------+---------+---------------+--------------+-------------+--------------+
Consulate: ACC
+---------------+-------------+--------+-----------+--------------+-------------+--------------+
| Case Number   | Consulate   | City   | Country   | PrevStatus   | Status      | statusDate   |
|---------------+-------------+--------+-----------+--------------+-------------+--------------|
| 2023AF40      | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF922     | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF1377    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF2190    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF3511    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF4465    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF5206    | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF5618    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF5696    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF7139    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF8053    | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF8328    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9630    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9720    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
