Consulate: ABJ
+---------------+-------------+---------+---------------+--------------+----------+--------------+
| Case Number   | Consulate   | City    | Country       | PrevStatus   | Status   | statusDate   |
|---------------+-------------+---------+---------------+--------------+----------+--------------|
| 2023AF164     | ABJ         | Abidjan | Cote d'Ivoire | Refused221g  | AP       | 16-May-2023  |
| 2023AF4448    | ABJ         | Abidjan | Cote d'Ivoire | Refused221g  | Refused  | 16-May-2023  |
| 2023AF4518    | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF13431   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF17854   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF18266   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF18568   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF19559   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF19857   | ABJ         | Abidjan | Cote d'Ivoire | Refused221g  | AP       | 16-May-2023  |
| 2023AF20065   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF20552   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF20907   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF21097   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF22222   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF22835   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF23793   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF24343   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF25160   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF25395   | ABJ         | Abidjan | Cote d'Ivoire | AP           | Issued   | 16-May-2023  |
| 2023AF25450   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF25508   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF25523   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF25918   | ABJ         | Abidjan | Cote d'Ivoire | AP           | Issued   | 16-May-2023  |
| 2023AF26458   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF27872   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF28108   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF28796   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF29208   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF29762   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF30191   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF30951   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF31091   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF31256   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF31980   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF32029   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
| 2023AF32348   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready    | 16-May-2023  |
