Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
|---------------+-------------+-------------+-----------+--------------+----------+--------------|
| 2023AF7858    | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF17209   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF17533   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF17723   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF18144   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF18428   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF18633   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
| 2023AF19818   | ADD         | Addis Ababa | Ethiopia  | InTransit    | Ready    | 17-Jul-2023  |
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
Consulate: ALG
+---------------+-------------+---------+-----------+--------------+-------------+--------------+
| Case Number   | Consulate   | City    | Country   | PrevStatus   | Status      | statusDate   |
|---------------+-------------+---------+-----------+--------------+-------------+--------------|
| 2023AF30295   | ALG         | Algiers | Algeria   | Ready        | AP          | 16-Jul-2023  |
| 2023AF33661   | ALG         | Algiers | Algeria   | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF35978   | ALG         | Algiers | Algeria   | Ready        | AP          | 16-Jul-2023  |
| 2023AF36510   | ALG         | Algiers | Algeria   | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF36997   | ALG         | Algiers | Algeria   | Ready        | AP          | 16-Jul-2023  |
| 2023AF37109   | ALG         | Algiers | Algeria   | Ready        | Refused     | 16-Jul-2023  |
| 2023AF37403   | ALG         | Algiers | Algeria   | Ready        | AP          | 16-Jul-2023  |
