Consulate: YDE
+---------------+-------------+---------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City    | Country   | PrevStatus   | Status   | statusDate   |
|---------------+-------------+---------+-----------+--------------+----------+--------------|
| 2023AF3845    | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF15801   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF16756   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF17921   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF21728   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF23908   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF26330   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF28275   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF29365   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF29443   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF29552   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF29624   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF30033   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF30054   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF31293   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF32259   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF34003   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF34856   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF35857   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF37956   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF38828   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF39922   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF40577   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF41106   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF41197   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF43212   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF44311   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF46960   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
